FirstName,LastName,X Handle,St/Dis,Party,Role,Past or current?,username
Julia,Brownley,RepBrownley,CA26,D,Representative,Current,RepBrownley
Marjorie,Greene,mtgreenee,,R,Representative,Past,mtgreenee
Jeff,Crank,RepJeffCrank,CO05,R,Representative,Current,RepJeffCrank
Pete,Aguilar,RepPeteAguilar,CA33,D,Representative,Current,RepPeteAguilar
Tony,Cárdenas,RepCardenas,,D,Representative,Past,RepCardenas
Derek,Tran,RepDerekTranCA,CA45,D,Representative,Current,RepDerekTranCA
David,Joyce,RepDaveJoyce,OH14,R,Representative,Current,RepDaveJoyce
Kathleen,Rice,RepKathleenRice,,D,Representative,Past,RepKathleenRice
Shomari,Figures,repscfigures,AL02,D,Representative,Current,repscfigures
Elijah,Crane,RepEliCrane,AZ02,R,Representative,Current,RepEliCrane
Kimberlyn,King-Hinds,RepKimKingHinds,MP00,R,Representative,Current,RepKimKingHinds
Adam,Kinzinger,AdamKinzinger,,R,Representative,Past,AdamKinzinger
Mike,Quigley,RepMikeQuigley,IL05,D,Representative,Current,RepMikeQuigley
Don,Bacon,RepDonBacon,NE02,R,Representative,Current,RepDonBacon
Dina,Titus,repdinatitus,NV01,D,Representative,Current,repdinatitus
Bruce,Westerman,RepWesterman,AR04,R,Representative,Current,RepWesterman
Donald,Norcross,DonaldNorcross,NJ01,D,Representative,Current,DonaldNorcross
Chip,Roy,RepChipRoy,TX21,R,Representative,Current,RepChipRoy
Bob,Onder,RepBobOnder,MO03,R,Representative,Current,RepBobOnder
Michael,McCaul,RepMcCaul,TX10,R,Representative,Current,RepMcCaul
Marie,Gluesenkamp Perez,RepMGP,WA03,D,Representative,Current,RepMGP
Marilyn,Strickland,RepStricklandWA,WA10,D,Representative,Current,RepStricklandWA
C.,Franklin,RepFranklin,FL18,R,Representative,Current,RepFranklin
Richard,Hudson,RepRichHudson,NC09,R,Representative,Current,RepRichHudson
Warren,Davidson,WarrenDavidson,OH08,R,Representative,Current,WarrenDavidson
Laurel,Lee,RepLaurelLee,FL15,R,Representative,Current,RepLaurelLee
William,Keating,USRepKeating,MA09,D,Representative,Current,USRepKeating
April,McClain Delaney,RepAprilDelaney,MD06,D,Representative,Current,RepAprilDelaney
Jake,Auchincloss,RepAuchincloss,MA04,D,Representative,Current,RepAuchincloss
Dan,Bishop,RepDanBishop,,R,Representative,Past,RepDanBishop
Jamaal,Bowman,RepBowman,,D,Representative,Past,RepBowman
Jefferson,Drew,Congressman_JVD,,R,Representative,Past,Congressman_JVD
Henry,Cuellar,RepCuellar,TX28,D,Representative,Current,RepCuellar
Dale,Strong,RepDaleStrong,AL05,R,Representative,Current,RepDaleStrong
Harold,Rogers,RepHalRogers,KY05,R,Representative,Current,RepHalRogers
Cori,Bush,CoriBush,,D,Representative,Past,CoriBush
Josh,Riley,RepRileyNY,NY19,D,Representative,Current,RepRileyNY
Ron,Estes,RepRonEstes,KS04,R,Representative,Current,RepRonEstes
Val,Demings,RepValDemings,,D,Representative,Past,RepValDemings
John,Joyce,RepJohnJoyce,PA13,R,Representative,Current,RepJohnJoyce
Mike,Kelly,MikeKellyPA,PA16,R,Representative,Current,MikeKellyPA
Maggie,Goodlander,RepGoodlander,NH02,D,Representative,Current,RepGoodlander
Luz,Rivas,RepLuzRivas,CA29,D,Representative,Current,RepLuzRivas
Sylvia,Garcia,RepSylviaGarcia,TX29,D,Representative,Current,RepSylviaGarcia
Angie,Craig,RepAngieCraig,MN02,D,Representative,Current,RepAngieCraig
Derrick,Van Orden,RepVanOrden,WI03,R,Representative,Current,RepVanOrden
Lucy,McBath,RepLucyMcBath,GA07,D,Representative,Current,RepLucyMcBath
Connie,Conway,RepConnieConway,,R,Representative,Past,RepConnieConway
Victoria,Spartz,RepSpartz,IN05,R,Representative,Current,RepSpartz
French,Hill,RepFrenchHill,AR02,R,Representative,Current,RepFrenchHill
Chris,Stewart,RepChrisStewart,,R,Representative,Past,RepChrisStewart
Hank,Johnson,RepHankJohnson,GA04,D,Representative,Current,RepHankJohnson
Jim,Costa,RepJimCosta,CA21,D,Representative,Current,RepJimCosta
Celeste,Maloy,RepMaloyUtah,UT02,R,Representative,Current,RepMaloyUtah
