FirstName,LastName,X Handle,St/Dis,Party,Role,Past or current?
Kelly,Loeffler,SBA_Kelly,,R,Administrator of the Small Business Administration,Current
Howard,Lutnick,howardlutnick,,R,Secretary of Commerce,Current
John,Ratcliffe,CIADirector,,R,Director of the Central Intelligence Agency,Current
Brooke,Rollins,SecRollins,,R,Secretary of Agriculture,Current
Scott,Turner,SecretaryTurner,,R,Secretary of Housing and Urban Development,Current
Russ,Vought,russvought,,R,Director of the Office of Management and Budget,Current
Chris,Wright,SecretaryWright,,R,Secretary of Energy,Current
Lee,Zeldin,LeeMZeldin,,R,Administrator of the Environmental Protection Agency,Current
Susie,Wiles,SusieWiles,,R,White House Chief of Staff,Current
Joe,Biden,JoeBiden,,D,President of the United States,Past
Kamala ,Harris,KamalaHarris,,D,Vice President of the United States,Past
Isabel,Guzman,SBAIsabel,,D,Administrator of the Small Business Administration,Past
Arati,Prabhakar,WHOSTP,,D,Director of the Office of Science and Technology Policy,Past
Shalanda,Young,ShalandaYoung46,,D,Director of the U.S. Office of Management and Budget,Past
Linda,Thomas-Greenfield,LindaT_G,,D,U.S. Ambassador to the United Nations,Past
Tom,Vilsack,SecVilsack,,D,U.S. Secretary of Agriculture,Past
Gina,Raimondo,GinaRaimondo,,D,U.S. Secretary of Commerce,Past
Lloyd,Austin,SecDefAustin,,D,U.S. Secretary of Defense,Past
Miguel,Cardona,teachcardona,,D,U.S. Secretary of Education,Past
Jennifer,Granholm,SecGranholm,,D,U.S. Secretary of Energy,Past
Xavier,Becerra,XavierBecerra,,D,U.S. Secretary of Health and Human Services,Past
Alejandro,Mayorkas,AliMayorkas,,D,U.S. Secretary of Homeland Security,Past
Adrianne,Todman,DepSecTodman,,D,U.S. Secretary of Housing and Urban Development,Past
Julie,Su,ActSecJulieSu,,D,U.S. Secretary of Labor,Past
Antony,Blinken,ABlinken,,D,U.S. Secretary of State,Past
Debra,Haaland,SecDebHaaland,,D,U.S. Secretary of the Interior,Past
Janet,Yellen,SecYellen,,D,U.S. Secretary of the Treasury,Past
Pete,Buttigieg,PeteButtigieg,,D,U.S. Secretary of Transportation,Past
Denis,McDonough,DenisMcDonough,,D,U.S. Secretary of Veterans Affairs,Past
Katherine,Tai,AmbassadorTai,,D,U.S. Trade Representative,Past
Jeff,Zients,JeffZients,,D,White House Chief of Staff,Past
Phillip,Swagel,USCBO,,R,Director of the Congressional Budget Office,Current
